Student_ID,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access,Parent_Education,Family_Income,Stress_Level,Sleep_Hours,Attendance_Percentage,Teacher_Quality,Learning_Style,Motivation_Level
36,82.9,75.3,70.4,71.7,80.1,69.1,74.9,C,16.3,Yes,Yes,Bachelor's,High,Medium,6.1,96.2,Average,Auditory,Low
37,84.4,89.5,82.6,85.8,80.2,77.5,83.3,B,14.3,Yes,Yes,Master's,Low,Low,7.6,87.6,Excellent,Auditory,Medium
38,88.0,77.7,79.1,75.7,78.0,72.3,78.5,C,26.4,No,Yes,Master's,Low,High,7.1,69.4,Excellent,Visual,Medium
39,56.6,49.8,60.6,53.0,60.2,48.3,54.8,F,14.7,Yes,No,Master's,Low,Medium,8.5,63.3,Excellent,Reading/Writing,Low
40,89.3,82.3,84.5,77.5,82.2,76.3,82.0,B,12.4,Yes,No,PhD,High,Low,6.5,97.1,Good,Visual,High
41,85.7,72.8,88.5,80.5,73.9,84.7,81.0,B,13.1,Yes,Yes,None,Medium,High,4.8,89.7,Excellent,Kinesthetic,Low
42,99.7,98.9,85.2,89.7,92.5,90.1,92.7,A,24.2,Yes,Yes,Master's,Medium,Medium,5.8,74.2,Good,Reading/Writing,High
43,83.5,88.9,95.4,86.3,83.4,77.0,85.8,B,27.7,Yes,No,PhD,Low,Medium,6.7,72.1,Good,Reading/Writing,Low
44,78.7,75.2,72.5,79.9,84.9,86.9,79.7,C,15.4,Yes,Yes,Bachelor's,High,High,8.6,92.3,Excellent,Auditory,Low
45,100,99.6,90.6,100,100,100,98.4,A,19.5,Yes,Yes,PhD,Low,Low,7.8,95.5,Average,Auditory,Low
46,87.9,93.1,85.8,83.6,82.6,92.2,87.5,B,25.4,Yes,Yes,PhD,High,Medium,5.7,67.2,Excellent,Reading/Writing,Medium
47,60.9,67.4,60.6,62.8,60.9,50.5,60.5,D,12.8,No,Yes,PhD,Medium,High,8.9,60.8,Good,Reading/Writing,Medium
48,67.9,63.5,61.0,63.8,67.3,67.5,65.2,D,8.2,Yes,No,Master's,Medium,High,7.1,77.3,Good,Auditory,Low
49,97.9,90.6,100,100,100,96.1,97.4,A,16.8,No,No,PhD,High,Low,4.8,98.1,Excellent,Auditory,Medium
50,90.3,98.1,92.8,97.3,87.3,88.3,92.4,A,20.6,Yes,Yes,None,Low,Low,6.6,81.0,Poor,Auditory,High
51,80.5,82.8,71.6,78.0,76.1,88.5,79.6,C,26.6,Yes,Yes,Bachelor's,Low,Medium,7.6,73.0,Poor,Kinesthetic,Low
52,80.7,80.2,78.4,93.2,81.4,84.1,83.0,B,18.6,No,Yes,PhD,Low,High,4.2,92.5,Poor,Visual,Medium
53,38.3,51.2,45.4,51.6,39.9,49.6,46.0,F,5.4,Yes,No,None,High,Medium,6.9,62.2,Good,Kinesthetic,Medium
54,90.8,89.2,97.2,95.6,93.4,96.2,93.7,A,20.5,No,No,High School,High,High,8.3,94.4,Poor,Reading/Writing,Low
55,51.5,54.6,58.4,51.0,57.6,60.2,55.6,F,1.3,No,Yes,Master's,High,High,7.2,87.1,Good,Reading/Writing,Low
56,77.1,76.0,88.5,82.2,74.1,87.1,80.8,B,23.6,No,No,Bachelor's,Medium,Low,6.9,75.9,Poor,Auditory,Medium
57,84.9,77.0,82.6,80.7,85.1,90.8,83.5,B,27.9,No,No,High School,High,Medium,5.7,71.1,Average,Kinesthetic,Low
58,78.3,88.7,74.3,73.3,91.1,87.9,82.3,B,14.6,No,Yes,Bachelor's,High,Medium,7.6,80.5,Average,Reading/Writing,Low
59,52.2,50.2,45.7,41.1,51.0,47.0,47.9,F,2.3,No,No,Master's,Medium,Medium,5.8,82.6,Excellent,Kinesthetic,Medium
60,67.8,62.7,69.9,69.3,70.8,65.1,67.6,D,2.8,No,No,PhD,High,Low,7.1,98.2,Good,Visual,Medium
61,56.0,64.1,49.6,64.3,54.6,48.8,56.2,F,13.9,No,No,Bachelor's,Medium,Medium,7.1,61.1,Good,Visual,Low
62,50.1,53.0,55.5,60.5,60.3,47.2,54.4,F,10.8,No,Yes,Bachelor's,Low,Low,6.6,66.3,Excellent,Auditory,Low
63,64.5,72.6,58.3,69.1,74.0,76.6,69.2,D,9.4,Yes,No,Bachelor's,High,Medium,7.2,91.6,Good,Reading/Writing,Low
64,84.5,81.0,92.8,82.0,97.8,81.4,86.6,B,20.8,No,Yes,High School,High,Medium,6.5,99.5,Poor,Reading/Writing,Low
65,83.2,76.7,69.5,68.4,79.4,77.2,75.7,C,18.4,Yes,Yes,Master's,Medium,Low,5.8,69.9,Poor,Kinesthetic,High
66,80.2,85.3,92.6,83.2,79.1,83.2,83.9,B,23.1,No,Yes,Master's,Low,Low,8.0,81.7,Excellent,Auditory,High
67,69.1,68.6,66.9,55.4,74.6,63.2,66.3,D,14.8,No,No,PhD,Low,Low,6.7,68.3,Good,Visual,High
68,72.5,79.0,78.1,74.4,67.9,69.5,73.6,C,6.0,No,Yes,Bachelor's,High,High,5.8,92.7,Poor,Auditory,Low
69,74.0,64.4,59.8,62.1,66.9,72.1,66.6,D,21.4,No,Yes,None,High,Low,5.4,67.8,Average,Auditory,High
70,60.8,68.6,64.5,66.9,65.6,63.8,65.0,D,6.1,Yes,Yes,Master's,High,Medium,7.0,68.1,Good,Visual,Medium
71,91.9,90.1,90.8,76.8,89.5,93.5,88.8,B,24.0,No,No,PhD,High,High,7.8,79.4,Good,Reading/Writing,Low
72,51.4,55.3,64.5,47.7,51.1,64.4,55.7,F,2.0,No,Yes,High School,Medium,Low,6.6,76.7,Average,Kinesthetic,Medium
73,62.6,62.3,61.0,60.0,54.7,55.8,59.4,F,5.3,No,No,High School,High,Medium,8.1,80.4,Excellent,Visual,Low
74,70.0,77.6,74.0,69.3,68.6,74.6,72.4,C,22.1,Yes,Yes,Master's,Medium,High,7.6,77.2,Excellent,Auditory,Low
75,73.1,78.0,68.7,70.6,80.4,73.1,74.0,C,15.1,Yes,No,Master's,Low,Medium,5.4,79.6,Excellent,Kinesthetic,Low
76,78.4,79.2,79.1,74.3,80.4,70.3,77.0,C,13.7,No,No,High School,Medium,Medium,8.0,76.6,Average,Kinesthetic,Medium
77,61.2,56.7,64.3,61.0,64.2,61.1,61.4,D,10.0,No,Yes,PhD,Medium,Low,8.6,85.8,Excellent,Kinesthetic,High
78,77.3,82.6,72.1,77.8,75.3,84.8,78.3,C,8.8,No,Yes,Bachelor's,Low,High,8.1,97.3,Excellent,Kinesthetic,High
79,74.4,69.8,80.4,85.2,87.0,81.2,79.7,C,11.9,No,Yes,Master's,Medium,Low,7.1,93.6,Good,Reading/Writing,Medium
80,90.2,100,91.5,100,100,91.7,95.6,A,29.8,No,No,None,High,Low,5.0,70.0,Excellent,Visual,High
81,62.1,60.6,57.2,71.7,53.1,63.6,61.4,D,9.0,No,Yes,High School,Low,Medium,5.6,62.2,Good,Kinesthetic,Low
82,48.5,54.9,58.6,49.6,62.2,64.8,56.4,F,12.5,Yes,No,Master's,Medium,Medium,7.2,66.1,Poor,Reading/Writing,Low
83,62.0,63.9,58.2,68.6,63.3,57.3,62.2,D,11.7,Yes,Yes,Bachelor's,High,Low,8.7,67.7,Poor,Auditory,Low
84,91.3,97.1,94.5,81.7,82.1,94.0,90.1,A,27.3,No,Yes,Bachelor's,Low,Medium,7.6,90.4,Good,Kinesthetic,Medium
85,66.0,70.8,77.3,70.4,75.4,73.3,72.2,C,4.4,Yes,No,High School,Medium,High,8.7,86.7,Excellent,Visual,High
86,80.8,70.9,73.6,80.8,77.3,81.5,77.5,C,21.2,No,Yes,Bachelor's,Medium,High,4.1,65.5,Excellent,Kinesthetic,High
87,62.6,55.6,65.8,59.6,62.4,57.4,60.6,D,6.8,No,No,None,High,Low,6.3,84.3,Average,Visual,Medium
88,79.7,85.4,89.6,75.4,82.1,84.1,82.7,B,24.7,No,No,PhD,Medium,Medium,6.5,75.8,Poor,Kinesthetic,Low
89,82.5,81.3,69.9,76.3,85.5,87.1,80.4,B,15.4,No,No,High School,Medium,Low,7.1,77.2,Average,Kinesthetic,Low
90,76.1,82.2,77.4,79.7,85.0,66.1,77.8,C,21.3,Yes,Yes,Master's,Low,High,5.5,79.8,Good,Auditory,Medium
91,83.1,85.9,88.3,90.7,90.7,78.4,86.2,B,23.1,Yes,No,PhD,Low,High,6.4,93.8,Poor,Visual,High
92,86.4,78.0,81.9,93.5,91.9,77.2,84.8,B,15.7,No,Yes,High School,Low,High,5.5,89.2,Poor,Visual,Low
93,58.9,50.4,48.4,49.5,59.4,63.1,54.9,F,8.1,Yes,No,PhD,High,Low,7.8,61.4,Average,Visual,High
94,55.0,59.2,63.1,61.5,58.1,71.0,61.3,D,10.0,No,No,Bachelor's,Medium,Medium,4.4,73.2,Average,Kinesthetic,Medium
95,78.6,64.9,81.1,61.9,68.7,73.8,71.5,C,14.0,Yes,Yes,PhD,Medium,Medium,6.7,67.9,Excellent,Reading/Writing,Low
96,86.7,84.8,95.8,85.5,90.1,86.7,88.3,B,20.5,Yes,No,Master's,High,High,8.4,77.5,Excellent,Kinesthetic,Medium
97,81.6,82.5,91.3,78.0,91.8,85.3,85.1,B,17.7,Yes,No,Master's,High,High,6.4,88.0,Average,Kinesthetic,Medium
98,81.4,83.4,85.2,68.6,86.4,78.5,80.6,B,17.9,No,Yes,Bachelor's,High,Medium,7.3,87.7,Excellent,Visual,Medium
99,80.9,76.6,72.0,75.8,76.7,76.5,76.4,C,19.2,Yes,Yes,Master's,High,Medium,5.8,65.7,Average,Kinesthetic,Medium
100,70.0,70.7,64.7,73.4,68.6,65.4,68.8,D,7.4,Yes,Yes,Master's,Medium,Low,7.0,89.0,Poor,Visual,Low
101,63.5,62.8,66.3,74.7,68.6,60.8,66.1,D,10.2,Yes,No,Master's,High,Low,5.1,98.4,Good,Auditory,Low
102,75.4,74.0,69.9,79.3,80.0,77.3,76.0,C,11.2,No,No,Master's,Medium,Medium,7.8,78.8,Good,Kinesthetic,High
103,75.1,77.9,79.4,72.7,69.8,84.7,76.6,C,18.7,No,No,Bachelor's,Medium,Medium,6.2,89.9,Average,Reading/Writing,Low
104,75.1,74.3,66.3,67.9,63.2,69.8,69.4,D,12.1,Yes,No,PhD,Medium,High,5.7,83.5,Average,Reading/Writing,Low
105,68.0,60.9,68.3,70.0,60.2,75.6,67.2,D,13.4,No,Yes,Bachelor's,High,High,7.1,84.4,Excellent,Auditory,High
106,41.8,41.9,44.7,37.4,44.4,45.1,42.5,F,9.7,No,No,PhD,High,Low,6.3,63.5,Average,Visual,Medium
107,73.3,66.9,76.5,73.3,76.1,72.2,73.0,C,22.2,Yes,Yes,None,Medium,Medium,7.9,69.1,Average,Reading/Writing,High
108,91.0,88.7,87.8,91.7,85.6,84.8,88.3,B,17.5,No,No,None,Medium,Low,4.4,92.7,Poor,Visual,Low
109,50.6,50.3,41.5,50.8,48.3,48.4,48.3,F,6.3,Yes,Yes,Bachelor's,Medium,Low,6.1,64.3,Good,Auditory,Low
110,69.4,65.8,68.6,68.8,73.6,68.8,69.2,D,13.3,Yes,Yes,PhD,Medium,Medium,8.3,93.6,Average,Reading/Writing,Low
111,69.6,77.7,76.7,66.3,74.2,71.1,72.6,C,8.4,Yes,Yes,Bachelor's,High,High,8.9,99.5,Good,Reading/Writing,High
112,37.5,39.5,42.8,36.6,33.7,47.2,39.6,F,3.5,No,Yes,PhD,High,Low,6.2,68.2,Good,Reading/Writing,Low
113,70.2,82.0,83.3,86.6,79.2,70.6,78.6,C,10.5,No,No,PhD,High,Low,6.1,85.2,Poor,Kinesthetic,Medium
114,59.9,56.5,67.7,66.1,66.4,53.5,61.7,D,9.8,Yes,Yes,High School,Medium,High,7.9,82.0,Average,Kinesthetic,Medium
115,48.9,43.1,48.2,47.7,53.9,42.9,47.4,F,1.5,No,Yes,PhD,Low,High,7.9,87.6,Good,Kinesthetic,Medium
116,52.8,50.2,64.8,59.4,60.2,55.9,57.2,F,9.1,No,Yes,High School,High,Low,6.2,65.7,Average,Auditory,Medium
117,89.3,76.9,89.9,74.7,81.5,85.2,82.9,B,21.9,Yes,No,High School,Medium,Medium,6.1,67.0,Average,Kinesthetic,Medium
118,60.9,68.0,59.0,75.3,60.6,61.8,64.3,D,3.3,No,Yes,PhD,High,Low,4.8,96.2,Poor,Visual,High
119,96.0,92.7,91.1,83.5,88.8,97.7,91.6,A,24.1,Yes,Yes,Bachelor's,Low,High,7.7,80.6,Good,Reading/Writing,Medium
120,61.0,69.7,58.6,59.3,70.0,75.2,65.6,D,21.8,Yes,Yes,High School,Low,Low,5.6,67.4,Average,Reading/Writing,Medium
121,83.5,90.8,84.8,85.0,90.8,89.6,87.4,B,24.9,No,Yes,Bachelor's,High,Medium,4.9,76.0,Good,Auditory,Low
122,61.7,59.6,56.7,62.6,60.1,59.2,60.0,D,21.4,No,Yes,Master's,High,High,5.9,64.3,Poor,Auditory,Medium
123,59.9,60.8,68.3,69.3,73.0,61.3,65.4,D,9.1,No,Yes,High School,High,High,5.0,88.6,Good,Kinesthetic,Low
124,79.6,77.3,74.9,80.8,68.0,72.4,75.5,C,11.3,No,No,Bachelor's,Medium,High,5.4,73.5,Excellent,Auditory,High
125,75.4,78.1,87.4,77.4,84.6,84.9,81.3,B,20.3,No,Yes,PhD,Low,High,5.1,71.5,Poor,Auditory,High
126,81.2,79.0,86.4,80.9,81.8,79.3,81.4,B,15.9,No,Yes,Bachelor's,High,High,6.4,82.5,Excellent,Reading/Writing,High
127,51.3,52.3,63.9,52.4,60.7,54.4,55.8,F,4.1,No,Yes,None,High,High,8.1,83.5,Poor,Kinesthetic,Low
128,79.8,84.9,86.4,85.1,77.9,88.6,83.8,B,14.4,No,Yes,Master's,Medium,Low,5.6,97.7,Poor,Visual,High
129,99.5,99.8,84.1,89.0,100,100,95.4,A,27.0,No,No,None,Low,Low,5.0,74.3,Average,Auditory,Low
130,42.6,52.8,39.0,48.8,40.1,55.4,46.4,F,5.4,No,Yes,None,High,Medium,6.2,71.6,Poor,Kinesthetic,Low
131,100,100,100,100,100,90.4,98.4,A,26.4,No,No,High School,High,Low,5.7,83.7,Good,Kinesthetic,Medium
132,79.8,78.2,82.9,79.5,81.5,70.4,78.7,C,11.0,No,Yes,Bachelor's,Medium,High,7.8,90.0,Excellent,Kinesthetic,High
133,52.4,65.1,62.4,55.3,62.4,63.2,60.1,D,5.0,Yes,No,None,High,High,6.2,92.8,Good,Reading/Writing,Medium
134,87.9,96.3,85.5,85.5,87.9,94.4,89.6,B,26.5,Yes,Yes,None,Medium,Low,8.6,71.9,Average,Auditory,High
135,85.5,82.2,86.8,83.4,78.4,78.0,82.4,B,19.8,No,Yes,High School,Low,Low,5.7,80.4,Excellent,Kinesthetic,High
136,57.6,58.9,67.9,59.1,71.9,60.6,62.7,D,4.7,No,Yes,Bachelor's,Medium,Low,8.6,84.0,Poor,Kinesthetic,Medium
137,75.5,87.0,78.2,76.2,73.7,75.3,77.6,C,19.9,No,Yes,Master's,Low,Medium,7.3,69.9,Average,Kinesthetic,Low
138,97.9,90.0,85.2,86.2,92.6,99.9,92.0,A,20.4,Yes,Yes,Master's,Medium,Medium,7.7,91.5,Excellent,Kinesthetic,Medium
139,99.8,90.6,100,100,86.6,100,96.2,A,28.2,No,No,Bachelor's,Low,High,4.5,85.7,Good,Kinesthetic,Medium
140,96.4,86.3,93.2,91.7,92.7,100,93.4,A,27.6,Yes,No,None,High,Low,7.4,79.7,Excellent,Visual,Medium
141,43.1,50.2,47.8,42.9,53.7,45.2,47.2,F,1.7,Yes,No,None,Medium,High,4.6,82.3,Poor,Kinesthetic,Low
142,79.8,71.8,81.5,76.6,65.5,63.9,73.2,C,12.9,Yes,Yes,High School,High,Low,5.3,77.5,Poor,Kinesthetic,Low
143,100,100,100,92.7,95.1,100,98.0,A,23.6,No,Yes,PhD,High,Low,7.9,89.1,Excellent,Visual,Medium
144,64.3,79.4,64.5,71.5,71.4,64.7,69.3,D,13.3,Yes,Yes,PhD,High,High,6.1,89.7,Good,Kinesthetic,High
145,100,100,99.5,100,100,96.4,99.3,A,23.4,Yes,No,PhD,High,Low,7.3,96.5,Excellent,Reading/Writing,Low
146,97.7,96.9,89.6,98.9,97.0,94.7,95.8,A,15.4,Yes,Yes,High School,Low,Medium,8.9,99.4,Excellent,Visual,High
147,88.2,89.9,81.9,84.9,89.7,77.7,85.4,B,22.7,Yes,Yes,Master's,High,Medium,7.4,83.8,Average,Kinesthetic,Low
148,75.7,65.7,79.4,76.5,65.8,68.6,72.0,C,11.7,No,No,Master's,High,Low,5.9,85.4,Average,Auditory,Low
149,100,95.5,100,90.2,100,100,97.6,A,27.9,Yes,No,PhD,Low,Medium,7.9,98.5,Good,Visual,High
150,88.8,81.5,86.2,79.2,80.0,91.4,84.5,B,30.0,No,No,Master's,Medium,Medium,4.2,74.8,Good,Visual,Low
151,55.9,54.2,41.7,43.6,41.3,49.4,47.7,F,3.7,Yes,No,None,Low,Low,5.9,79.4,Poor,Auditory,High
152,35.0,46.4,47.9,46.0,41.1,51.2,44.6,F,1.6,No,No,Master's,Low,High,6.0,61.4,Average,Reading/Writing,Medium
153,30.2,34.1,25.4,45.0,38.5,30.5,33.9,F,1.1,No,No,None,Medium,Low,8.0,62.8,Poor,Auditory,High
154,92.4,93.9,85.4,91.0,88.4,93.7,90.8,A,13.7,Yes,Yes,Bachelor's,Low,Medium,5.2,99.5,Excellent,Reading/Writing,Medium
155,80.4,71.7,71.6,80.2,88.1,72.9,77.5,C,6.2,No,No,High School,High,High,4.1,93.4,Excellent,Kinesthetic,Medium
156,95.9,88.0,94.9,98.3,97.0,85.8,93.3,A,21.2,No,No,Master's,Low,Low,9.0,95.8,Excellent,Auditory,High
157,81.3,67.5,74.6,64.1,73.8,67.8,71.5,C,9.8,Yes,Yes,PhD,Low,Medium,5.7,99.7,Excellent,Reading/Writing,Medium
158,81.3,82.3,93.1,78.6,86.8,90.6,85.4,B,21.2,No,Yes,Bachelor's,High,High,4.5,82.5,Good,Visual,Medium
159,74.8,73.6,86.3,83.0,86.3,87.5,81.9,B,21.1,Yes,Yes,None,Low,Low,4.9,60.9,Average,Reading/Writing,Low
160,59.8,63.5,58.6,57.6,75.8,73.4,64.8,D,8.6,No,Yes,Bachelor's,High,Low,8.7,99.1,Excellent,Auditory,Medium
161,67.7,60.6,74.7,69.4,63.7,63.5,66.6,D,11.9,No,No,None,High,High,5.1,84.5,Poor,Auditory,Medium
162,89.9,97.5,82.7,94.0,83.6,90.4,89.7,B,19.7,No,No,PhD,Low,High,9.0,88.4,Good,Kinesthetic,Low
163,75.9,64.5,73.7,74.7,66.3,69.8,70.8,C,2.3,Yes,Yes,None,Low,High,4.8,95.4,Average,Auditory,High
164,85.9,82.7,80.5,83.1,80.9,79.3,82.1,B,24.4,No,No,PhD,High,Medium,5.3,74.6,Excellent,Reading/Writing,Medium
165,72.2,73.1,77.2,75.4,77.5,67.6,73.8,C,8.8,Yes,No,Master's,Medium,High,7.2,82.4,Average,Auditory,Medium
166,56.2,60.7,63.7,56.6,58.4,57.0,58.8,F,9.6,No,Yes,Master's,High,High,8.7,71.4,Poor,Visual,Low
167,90.9,96.5,99.4,95.2,86.6,94.4,93.8,A,20.4,Yes,No,High School,Medium,High,4.0,85.8,Good,Auditory,Medium
168,67.3,78.6,79.8,75.9,68.4,82.2,75.4,C,3.6,No,Yes,High School,Low,Low,6.8,97.2,Poor,Auditory,Medium
169,55.8,55.1,56.5,48.7,45.6,63.1,54.1,F,8.4,No,Yes,Master's,Medium,Medium,7.1,73.9,Excellent,Auditory,Low
170,89.3,91.3,86.3,85.3,92.8,88.3,88.9,B,24.2,No,No,High School,Medium,Low,5.6,95.8,Average,Auditory,High
171,75.2,79.1,79.2,71.8,71.8,81.3,76.4,C,14.6,No,No,PhD,Medium,Medium,6.5,85.3,Good,Kinesthetic,High
172,89.4,87.1,97.1,87.2,80.0,78.9,86.6,B,27.9,Yes,No,High School,Medium,High,4.6,62.8,Poor,Visual,Low
173,89.6,89.8,90.3,83.9,87.6,79.2,86.7,B,19.4,Yes,No,PhD,Medium,High,8.0,74.5,Average,Kinesthetic,Medium
174,73.4,73.6,78.9,63.2,62.2,69.7,70.2,C,11.6,No,Yes,None,Medium,High,7.6,67.6,Poor,Visual,Low
175,70.9,81.0,77.8,70.2,70.7,85.4,76.0,C,8.5,No,Yes,Bachelor's,Medium,High,5.1,87.0,Good,Auditory,High
176,82.8,68.7,80.1,77.2,75.8,74.1,76.5,C,11.5,No,Yes,Bachelor's,Low,Medium,4.3,98.3,Excellent,Reading/Writing,Low
177,55.2,52.7,46.0,59.5,50.7,57.6,53.6,F,6.7,Yes,No,PhD,Medium,Medium,8.7,71.1,Good,Kinesthetic,Low
178,47.6,49.5,46.2,55.7,49.9,46.9,49.3,F,3.3,Yes,No,Master's,Low,Medium,8.2,65.2,Poor,Auditory,Medium
179,88.4,81.1,96.4,98.2,98.7,90.3,92.2,A,29.2,Yes,Yes,Master's,Low,Low,6.5,83.7,Poor,Visual,Low
180,73.0,66.6,80.3,65.0,77.6,73.7,72.7,C,11.4,No,No,Bachelor's,Low,Low,5.3,79.5,Good,Visual,Medium
181,89.9,88.3,87.3,82.1,78.6,84.0,85.0,B,24.9,Yes,No,Master's,High,Medium,6.4,70.4,Excellent,Visual,Medium
182,76.8,76.2,83.5,77.7,81.0,84.6,80.0,B,15.7,No,Yes,Master's,Medium,High,8.2,95.0,Excellent,Auditory,High
183,89.7,81.0,89.7,79.7,86.4,83.8,85.0,B,23.0,Yes,Yes,Master's,Low,High,6.8,81.3,Average,Kinesthetic,Low
184,85.1,87.3,83.9,92.7,83.7,77.6,85.0,B,17.4,No,No,High School,High,High,8.1,88.0,Poor,Visual,High
185,97.0,94.3,84.6,88.3,98.8,85.4,91.4,A,17.5,No,Yes,Master's,Medium,Low,9.0,90.8,Poor,Auditory,Medium
186,83.1,83.8,90.4,89.5,78.9,79.4,84.2,B,24.6,Yes,No,Master's,Medium,Medium,8.1,77.7,Average,Reading/Writing,High
187,82.5,86.4,72.9,90.6,75.1,87.3,82.5,B,24.6,Yes,Yes,PhD,High,High,6.2,80.1,Poor,Reading/Writing,High
188,67.8,63.8,63.4,78.1,74.9,78.5,71.1,C,13.1,No,No,Master's,Low,Medium,6.8,68.5,Poor,Reading/Writing,Low
